serving,calories,carbs,meat,total_fat,cholesterol,sodium,sugars,protein
278,680,53,1,39,80,940,9,29
303,780,55,1,47,105,1390,9,34
353,920,53,1,57,150,1020,9,48
378,1020,55,1,65,170,1460,9,53
123,320,30,1,14,45,530,5,18
136,370,31,1,18,55,750,5,20
172,480,30,1,26,85,580,5,31
197,570,32,1,34,110,1020,5,35
205,610,32,1,37,120,1170,5,38
150,330,43,0,10,0,760,5,14
263,710,67,1,38,50,1200,4,24
258,550,52,1,25,105,1110,5,30
148,450,37,1,27,30,680,4,14
62,170,10,1,9,25,420,0,11
117,360,46,0,18,0,690,1,4
91,320,40,0,16,0,460,5,4
77,230,22,0,13,20,790,1,7
88,290,25,0,16,20,670,1,12
113,340,52,0,14,0,470,23,2
153,500,26,1,36,190,1020,5,19
86,300,35,0,15,0,830,3,6
189,650,38,1,46,190,1600,4,20
131,510,35,1,35,30,1190,3,13
112,390,46,0,20,0,440,11,6
108,440,51,0,23,25,710,20,6
75,240,23,0,15,0,450,0,2
397,440,79,0,8,25,340,66,12
425,500,95,0,8,25,440,81,13
425,500,95,0,8,25,350,81,12
518,230,56,0,0,0,0,56,0
311,140,33,0,0,0,0,28,2
244,110,12,0,2.5,10,125,11,8
