city,year,robbery,police
fresno,71,2.287488740340397,2.1037785047172046
fresno,72,2.459889333919848,2.083670965202695
fresno,73,3.3710407239819005,2.2228506787330318
fresno,74,3.484162895927602,2.1266968325791855
fresno,75,3.2124645892351276,2.254957507082153
fresno,76,4.064080944350758,2.1641371557054523
fresno,77,5.245607214626373,2.4585361580033838
fresno,78,5.657839342006634,2.1563453027611486
fresno,79,5.178368890782093,2.335141571165364
fresno,80,5.719697673122992,2.1727422979071105
fresno,81,4.983516408973947,2.193289889611946
fresno,82,5.355722492266902,2.266902342023862
fresno,83,4.270499700544228,2.165629421312571
fresno,84,4.186154275100236,2.0655883196085596
fresno,85,4.481599273057701,1.8973194002726035
fresno,86,4.674058972701507,2.0280301469700306
fresno,87,3.755289441674804,2.004420003083723
fresno,88,4.726921053971054,2.0258233088447377
fresno,89,4.837921692289146,2.0335133145949786
fresno,90,4.4946104200428,1.8294645428314915
fresno,91,6.03462580894961,1.7810719619447979
fresno,92,8.421889290536127,1.7556944383955402
losangel,71,5.070004189464125,3.3802417130858577
losangel,72,5.020801015371598,3.334508531941898
losangel,73,4.826056338028169,3.4066901408450705
losangel,74,4.777438866047829,3.55728645402724
losangel,75,5.344561185518181,3.8661068370088336
losangel,76,5.193311671716987,3.671643970647293
losangel,77,5.473554360192619,3.596619938371354
losangel,78,6.136267836162904,3.4614936188913106
losangel,79,7.143226332780613,3.1424049350914225
losangel,80,8.683117522678154,3.0987183451645057
losangel,81,9.287747971851712,3.1345159662035766
losangel,82,9.680594227104697,2.99873081023437
losangel,83,9.257957734350464,2.993964582763476
losangel,84,8.689814060941604,2.978129007307293
losangel,85,8.767726181319139,3.0237326135374722
losangel,86,9.17857151619084,2.8697986050288637
losangel,87,7.837865821434791,2.8353611277525443
losangel,88,7.695287540170859,2.9459119629949013
losangel,89,9.026139861436274,3.044647763195096
losangel,90,10.356923370013984,3.2105372184180974
losangel,91,11.178883494327092,3.053129626486237
losangel,92,10.927834196088627,2.8744065243938697
oakland,71,8.220559979386918,2.7813081512796116
oakland,72,8.028169014084508,2.623584645125656
oakland,73,8.318405085235481,2.8951170182028316
oakland,74,8.419976635514018,2.730724299065421
oakland,75,9.430107654227411,3.0288854412165285
oakland,76,8.688081657160012,2.894025818072651
oakland,77,8.951730805508394,3.0389313337106207
oakland,78,8.46361317565506,2.669668900035392
oakland,79,8.912459455852574,2.660392357101826
oakland,80,12.541295048136963,2.5773424145535704
oakland,81,11.031357121494468,2.438631605585847
oakland,82,8.975238009599064,2.5374577090381827
oakland,83,9.077009692446957,2.5031461815291545
oakland,84,8.840771294545494,2.5741425567399028
oakland,85,9.15781769977492,2.526961156602549
oakland,86,10.219777847342913,2.5475231813814916
oakland,87,8.677998704857876,2.4700600847580354
oakland,88,8.54038533696592,2.2404576624195855
oakland,89,8.801408662180423,2.69174594941374
oakland,90,8.677150885714132,2.5735945970632006
oakland,91,10.350136186002446,2.8263529783286625
oakland,92,11.94034489725087,2.9345793424262987
sacramen,71,3.007682843493322,2.6005124968645963
sacramen,72,3.3546247250230015,2.4042739282049728
sacramen,73,2.7813565744600224,2.482000757862827
sacramen,74,3.381349507202426,2.4639878695981805
sacramen,75,4.289071233564264,2.566598477531807
sacramen,76,4.553126198695819,2.5316455696202533
sacramen,77,4.811100218686374,2.4885001131136417
sacramen,78,6.050523014552617,2.497466200065018
sacramen,79,5.978855267954794,2.5227852716004375
sacramen,80,5.842351218552744,2.571508703427828
sacramen,81,6.50336699142109,2.4409800818863667
sacramen,82,5.3493548185795605,2.437197950396261
sacramen,83,5.287798566540118,2.352780946219718
sacramen,84,5.478804188537476,2.45130691961312
sacramen,85,6.656142952093665,2.3997903778311773
sacramen,86,6.913219424460432,2.5323491207034374
sacramen,87,5.549727487580186,2.4297014421453724
sacramen,88,4.734450765530144,2.487642554841211
sacramen,89,4.7642090952035305,2.514603712280944
sacramen,90,4.846154887441961,2.4447362365140175
sacramen,91,6.046815078847286,2.437290814675726
sacramen,92,6.061049015666846,2.3492438045220334
sanfran,71,9.321378448389734,3.4997642048024633
sanfran,72,6.688341984447009,3.5043226316936438
sanfran,73,7.105421922225352,3.419216943267255
sanfran,74,6.543448438629357,3.6183676780788576
sanfran,75,8.488351092649449,3.3359354127081975
sanfran,76,9.966917293233083,3.150375939849624
sanfran,77,8.01477923517458,3.215961573988546
sanfran,78,9.88292026704686,2.863602338861635
sanfran,79,10.155102734322853,3.217653555347889
sanfran,80,11.16517095601869,3.334569457835793
sanfran,81,10.671991584933794,3.339151442293799
sanfran,82,10.099141862376072,3.5000381206249522
sanfran,83,8.243571539502584,3.2752423845761323
sanfran,84,7.257222826759168,3.8315134686662247
sanfran,85,6.968379834645841,3.7534630570886325
sanfran,86,6.775085804429853,3.3828796179837557
sanfran,87,6.060424542245221,3.332321960379356
sanfran,88,6.455532166907406,3.3318875700167254
sanfran,89,6.664766886295482,3.305085197159917
sanfran,90,9.742264410001118,3.143824443096916
sanfran,91,9.498822118995072,3.1337994341299984
sanfran,92,11.024324630269614,3.011113552674511
