agecell,mva
19.068492889404297,35.82932662963867
19.150684356689453,35.63925552368164
19.23287582397461,34.205650329589844
19.3150691986084,32.27895736694336
19.397260665893555,32.65096664428711
19.47945213317871,32.72144317626953
19.561643600463867,36.385196685791016
19.643835067749023,34.18793487548828
19.72602653503418,31.91046714782715
19.80821990966797,30.576831817626953
19.890411376953125,33.531654357910156
19.97260284423828,33.60344314575195
20.054794311523438,31.772815704345703
20.136985778808594,34.298309326171875
20.21917724609375,33.32011032104492
20.30137062072754,32.759403228759766
20.383562088012695,30.589046478271484
20.46575355529785,31.287750244140625
20.547945022583008,30.298925399780273
20.630136489868164,30.230117797851562
20.71232795715332,30.122577667236328
20.79452133178711,29.74464988708496
20.876712799072266,30.71791648864746
20.958904266357422,30.417139053344727
20.999990463256836,NA
21,NA
21.041095733642578,36.31680679321289
21.123287200927734,32.57579803466797
21.20547866821289,33.02229309082031
21.28767204284668,35.10687255859375
21.369863510131836,32.35869598388672
21.452054977416992,32.45526123046875
21.53424644470215,31.533687591552734
21.616437911987305,30.098682403564453
21.69862937927246,30.388288497924805
21.78082275390625,31.742258071899414
21.863014221191406,34.48193359375
21.945205688476562,31.54001235961914
22.02739715576172,31.834293365478516
22.109588623046875,29.551549911499023
22.19178009033203,30.83698844909668
22.27397346496582,29.857894897460938
22.356164932250977,28.755590438842773
22.438356399536133,27.649269104003906
22.52054786682129,28.260135650634766
22.602739334106445,29.23415184020996
22.6849308013916,29.528757095336914
22.76712417602539,27.44976043701172
22.849315643310547,26.855064392089844
22.931507110595703,27.389301300048828
